Year,Type,Country,Value,Unit,ISO-2,ISO-3,latitude,longitude
2013,Departure,Netherlands,29054785,Passengers,NL, NLD,52.132633,5.291266
2013,Departure,Poland,12306566,Passengers,PL, POL,51.919438,19.145136
2013,Departure,Portugal,16203634,Passengers,PT, PRT,39.399872,-8.224454
2013,Departure,Czech Republic,5948808,Passengers,CZ, CZE,49.817492,15.472962
2013,Departure,Romania,5269157,Passengers,RO, ROU,45.943161,24.966760
2013,Departure,Sweden,19017005,Passengers,SE, SWE,60.128161,18.643501
2013,Departure,Iceland,1598917,Passengers,IS, ISL,64.963051,-19.020835
2013,Departure,Norway,24998430,Passengers,NO, NOR,60.472024,8.468946
2013,Departure,United Kingdom,113762680,Passengers,GB, GBR,55.378051,-3.435973
2013,Departure,Switzerland,22412312,Passengers,CH, CHE,46.818188,8.227512
2014,Departure,Germany,104307285,Passengers,DE, DEU,51.165691,10.451526
2014,Departure,Austria,13526480,Passengers,AT, AUT,47.516231,14.550072
2014,Departure,Belgium,14406511,Passengers,BE, BEL,50.503887,4.469936
2014,Departure,Bulgaria,3868955,Passengers,BG, BGR,42.733883,25.485830
2014,Departure,Cyprus,3665889,Passengers,CY, CYP,35.126413,33.429859
2014,Departure,Croatia,3304186,Passengers,HR, HRV,45.100000,15.200000
2014,Departure,Denmark,15307528,Passengers,DK, DNK,56.263920,9.501785
2014,Departure,Slovakia,850360,Passengers,SK, SVK,48.669026,19.699024
2014,Departure,Slovenia,654522,Passengers,SI, SVN,46.151241,14.995463
2014,Departure,Spain,97383909,Passengers,ES, ESP,40.463667,-3.749220
2014,Departure,Estonia,1020367,Passengers,EE, EST,58.595272,25.013607
2014,Departure,Finland,9853445,Passengers,FI, FIN,61.924110,25.748151
2014,Departure,France,81882418,Passengers,FR, FRA,46.227638,2.213749
2014,Departure,Greece,22798239,Passengers,GR, GRC,39.074208,21.824312
2014,Departure,Hungary,4559437,Passengers,HU, HUN,47.162494,19.503304
2014,Departure,Ireland,13188072,Passengers,IE, IRL,53.412910,-8.243890
2014,Departure,Italy,75114163,Passengers,IT, ITA,41.871940,12.567380
2014,Departure,Latvia,2398244,Passengers,LV, LVA,56.879635,24.603189
2014,Departure,Lithuania,1900752,Passengers,LT, LTU,55.169438,23.881275
2014,Departure,Luxembourg,1224145,Passengers,LU, LUX,49.815273,6.129583
2014,Departure,Malta,2145833,Passengers,MT, MLT,35.937496,14.375416
2014,Departure,Netherlands,30503583,Passengers,NL, NLD,52.132633,5.291266
2014,Departure,Poland,13634359,Passengers,PL, POL,51.919438,19.145136
2014,Departure,Portugal,17586144,Passengers,PT, PRT,39.399872,-8.224454
2014,Departure,Czech Republic,6050752,Passengers,CZ, CZE,49.817492,15.472962
2014,Departure,Romania,5704162,Passengers,RO, ROU,45.943161,24.966760
2014,Departure,Sweden,19810370,Passengers,SE, SWE,60.128161,18.643501
2014,Departure,Iceland,1926574,Passengers,IS, ISL,64.963051,-19.020835
2014,Departure,Norway,25564318,Passengers,NO, NOR,60.472024,8.468946
2014,Departure,United Kingdom,118708803,Passengers,GB, GBR,55.378051,-3.435973
2014,Departure,Switzerland,23376322,Passengers,CH, CHE,46.818188,8.227512
2015,Departure,Germany,108195262,Passengers,DE, DEU,51.165691,10.451526
2015,Departure,Austria,13696857,Passengers,AT, AUT,47.516231,14.550072
2015,Departure,Belgium,15485440,Passengers,BE, BEL,50.503887,4.469936
2015,Departure,Bulgaria,3912287,Passengers,BG, BGR,42.733883,25.485830
2015,Departure,Cyprus,3794014,Passengers,CY, CYP,35.126413,33.429859
2015,Departure,Croatia,3525290,Passengers,HR, HRV,45.100000,15.200000
2015,Departure,Denmark,15836180,Passengers,DK, DNK,56.263920,9.501785
2015,Departure,Slovakia,980938,Passengers,SK, SVK,48.669026,19.699024
2015,Departure,Slovenia,719692,Passengers,SI, SVN,46.151241,14.995463
2015,Departure,Spain,102821746,Passengers,ES, ESP,40.463667,-3.749220
2015,Departure,Estonia,1097144,Passengers,EE, EST,58.595272,25.013607
2015,Departure,Finland,10047980,Passengers,FI, FIN,61.924110,25.748151
2015,Departure,France,84212267,Passengers,FR, FRA,46.227638,2.213749
2015,Departure,Greece,24900953,Passengers,GR, GRC,39.074208,21.824312
2015,Departure,Hungary,5159421,Passengers,HU, HUN,47.162494,19.503304
2015,Departure,Ireland,14814213,Passengers,IE, IRL,53.412910,-8.243890
2015,Departure,Italy,78494972,Passengers,IT, ITA,41.871940,12.567380
2015,Departure,Latvia,2569879,Passengers,LV, LVA,56.879635,24.603189
2015,Departure,Lithuania,2116936,Passengers,LT, LTU,55.169438,23.881275
2015,Departure,Luxembourg,1333144,Passengers,LU, LUX,49.815273,6.129583
2015,Departure,Malta,2309071,Passengers,MT, MLT,35.937496,14.375416
2015,Departure,Netherlands,32362493,Passengers,NL, NLD,52.132633,5.291266
2015,Departure,Poland,15236943,Passengers,PL, POL,51.919438,19.145136
2015,Departure,Portugal,19582715,Passengers,PT, PRT,39.399872,-8.224454
2015,Departure,Czech Republic,6338990,Passengers,CZ, CZE,49.817492,15.472962
2015,Departure,Romania,6568910,Passengers,RO, ROU,45.943161,24.966760
2015,Departure,Sweden,20505248,Passengers,SE, SWE,60.128161,18.643501
2015,Departure,Iceland,2424563,Passengers,IS, ISL,64.963051,-19.020835
2015,Departure,Norway,25934543,Passengers,NO, NOR,60.472024,8.468946
2015,Departure,United Kingdom,125249123,Passengers,GB, GBR,55.378051,-3.435973
2015,Departure,Switzerland,24329605,Passengers,CH, CHE,46.818188,8.227512
2016,Departure,Germany,111894109,Passengers,DE, DEU,51.165691,10.451526
2016,Departure,Austria,13894550,Passengers,AT, AUT,47.516231,14.550072
2016,Departure,Belgium,15039952,Passengers,BE, BEL,50.503887,4.469936
2016,Departure,Bulgaria,4768380,Passengers,BG, BGR,42.733883,25.485830
2016,Departure,Cyprus,4472401,Passengers,CY, CYP,35.126413,33.429859
2016,Departure,Croatia,3983335,Passengers,HR, HRV,45.100000,15.200000
2016,Departure,Denmark,17205597,Passengers,DK, DNK,56.263920,9.501785
2016,Departure,Slovakia,1095435,Passengers,SK, SVK,48.669026,19.699024
2016,Departure,Slovenia,703902,Passengers,SI, SVN,46.151241,14.995463
2016,Departure,Spain,113655972,Passengers,ES, ESP,40.463667,-3.749220
2016,Departure,Estonia,1124879,Passengers,EE, EST,58.595272,25.013607
2016,Departure,Finland,10410251,Passengers,FI, FIN,61.924110,25.748151
2016,Departure,France,86695736,Passengers,FR, FRA,46.227638,2.213749
2016,Departure,Greece,26880204,Passengers,GR, GRC,39.074208,21.824312
2016,Departure,Hungary,5881072,Passengers,HU, HUN,47.162494,19.503304
2016,Departure,Ireland,16362729,Passengers,IE, IRL,53.412910,-8.243890
2016,Departure,Italy,82201440,Passengers,IT, ITA,41.871940,12.567380
2016,Departure,Latvia,2685962,Passengers,LV, LVA,56.879635,24.603189
2016,Departure,Lithuania,2389920,Passengers,LT, LTU,55.169438,23.881275
2016,Departure,Luxembourg,1499712,Passengers,LU, LUX,49.815273,6.129583
2016,Departure,Malta,2538348,Passengers,MT, MLT,35.937496,14.375416
2016,Departure,Netherlands,35223141,Passengers,NL, NLD,52.132633,5.291266
2016,Departure,Poland,17016779,Passengers,PL, POL,51.919438,19.145136
2016,Departure,Portugal,22431352,Passengers,PT, PRT,39.399872,-8.224454
2016,Departure,Czech Republic,6836188,Passengers,CZ, CZE,49.817492,15.472962
2016,Departure,Romania,8032280,Passengers,RO, ROU,45.943161,24.966760
2016,Departure,Sweden,21580143,Passengers,SE, SWE,60.128161,18.643501
2016,Departure,Iceland,3398548,Passengers,IS, ISL,64.963051,-19.020835
2016,Departure,Norway,26091445,Passengers,NO, NOR,60.472024,8.468946
2016,Departure,United Kingdom,133712801,Passengers,GB, GBR,55.378051,-3.435973
2016,Departure,Switzerland,25619271,Passengers,CH, CHE,46.818188,8.227512
2017,Departure,Germany,117615426,Passengers,DE, DEU,51.165691,10.451526
2017,Departure,Austria,14472548,Passengers,AT, AUT,47.516231,14.550072
2017,Departure,Belgium,16610403,Passengers,BE, BEL,50.503887,4.469936
2017,Departure,Bulgaria,5725016,Passengers,BG, BGR,42.733883,25.485830
2017,Departure,Cyprus,5112000,Passengers,CY, CYP,35.126413,33.429859
2017,Departure,Croatia,4693690,Passengers,HR, HRV,45.100000,15.200000
2017,Departure,Denmark,17411024,Passengers,DK, DNK,56.263920,9.501785
2017,Departure,Slovakia,1216075,Passengers,SK, SVK,48.669026,19.699024
2017,Departure,Slovenia,842057,Passengers,SI, SVN,46.151241,14.995463
2017,Departure,Spain,122975994,Passengers,ES, ESP,40.463667,-3.749220
2017,Departure,Estonia,1339227,Passengers,EE, EST,58.595272,25.013607
2017,Departure,Finland,11426146,Passengers,FI, FIN,61.924110,25.748151
2017,Departure,France,91677274,Passengers,FR, FRA,46.227638,2.213749
2017,Departure,Greece,29323046,Passengers,GR, GRC,39.074208,21.824312
2017,Departure,Hungary,6719737,Passengers,HU, HUN,47.162494,19.503304
2017,Departure,Ireland,17193153,Passengers,IE, IRL,53.412910,-8.243890
2017,Departure,Italy,87477973,Passengers,IT, ITA,41.871940,12.567380
2017,Departure,Latvia,3036351,Passengers,LV, LVA,56.879635,24.603189
2017,Departure,Lithuania,2624411,Passengers,LT, LTU,55.169438,23.881275
2017,Departure,Luxembourg,1787821,Passengers,LU, LUX,49.815273,6.129583
2017,Departure,Malta,2999129,Passengers,MT, MLT,35.937496,14.375416
2017,Departure,Netherlands,38155830,Passengers,NL, NLD,52.132633,5.291266
2017,Departure,Poland,19942483,Passengers,PL, POL,51.919438,19.145136
2017,Departure,Portugal,26147372,Passengers,PT, PRT,39.399872,-8.224454
2017,Departure,Czech Republic,8118491,Passengers,CZ, CZE,49.817492,15.472962
2017,Departure,Romania,9649334,Passengers,RO, ROU,45.943161,24.966760
2017,Departure,Sweden,22939620,Passengers,SE, SWE,60.128161,18.643501
2017,Departure,Iceland,4161998,Passengers,IS, ISL,64.963051,-19.020835
